feature,importance
review_count,503
past_3m_review_count,395
history_12m_review_count,381
history_3m_review_count,299
history_3m_vs_12m_low_rating_ratio_delta,299
mean_helpful_vote,292
history_12m_mean_helpful_vote,287
history_3m_mean_helpful_vote,287
history_3m_vs_6m_low_rating_ratio_delta,280
history_1m_mean_helpful_vote,269
history_6m_mean_helpful_vote,254
history_1m_review_count,235
history_12m_verified_purchase_ratio,229
avg_rating,227
history_6m_review_count,217
history_1m_avg_rating,202
history_6m_verified_purchase_ratio,171
low_rating_ratio,168
history_12m_low_rating_count,165
history_12m_low_rating_ratio,159
history_12m_avg_rating,155
history_3m_avg_rating,154
history_6m_low_rating_ratio,142
history_3m_verified_purchase_ratio,140
history_6m_avg_rating,132
history_1m_low_rating_ratio,127
history_3m_low_rating_ratio,126
verified_purchase_ratio,125
history_6m_low_rating_count,113
history_1m_verified_purchase_ratio,102
low_rating_count,79
history_3m_low_rating_count,63
history_12m_active_month_count,62
history_1m_low_rating_count,58
history_12m_text_available_ratio,26
history_12m_coverage_ratio,26
history_6m_active_month_count,18
text_available_ratio,13
history_6m_text_available_ratio,9
history_6m_coverage_ratio,7
history_3m_text_available_ratio,2
history_1m_text_available_ratio,1
history_3m_active_month_count,1
history_1m_active_month_count,0
history_1m_coverage_ratio,0
history_3m_coverage_ratio,0
